season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct
1995,Tim Hardaway,PG,28,GSW,62,62,37.4,6.9,16.2,0.427,2.7,7.2,0.378,4.2,9.1,0.465,0.51,3.5,4.6,0.76,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1,2321,18.3,0.55,0.441,0.286,2.2,6.9,4.5,40.0,1.9,0.4,15.9,24.5,4.4,0.7,5.1,0.105,4.1,-1.5,2.6,2.7,0.0,-5.41,-4.91,0.317
1995,Derek Harper,PG,33,NYK,80,80,34.0,4.2,9.5,0.446,1.3,3.7,0.363,2.9,5.8,0.498,0.516,1.7,2.4,0.724,0.4,2.0,2.4,5.7,1.0,0.1,1.9,2.7,11.5,2716,12.6,0.547,0.386,0.254,1.4,6.8,4.2,26.7,1.5,0.3,15.2,16.7,3.2,3.1,6.4,0.113,-0.1,0.3,0.2,1.5,0.0,3.11,2.78,0.671
1995,Hersey Hawkins,SG,28,CHH,82,82,33.3,4.8,9.9,0.482,1.6,3.6,0.44,3.2,6.2,0.507,0.563,3.2,3.7,0.867,0.7,3.1,3.8,3.2,1.5,0.2,1.8,2.2,14.3,2731,16.3,0.622,0.368,0.372,2.7,10.5,6.8,15.3,2.4,0.5,13.7,18.5,5.3,3.4,8.7,0.153,1.4,1.1,2.5,3.1,0.0,3.28,2.86,0.61
1995,Grant Hill,SF,22,DET,70,69,38.3,7.3,15.2,0.477,0.1,0.4,0.148,7.2,14.8,0.486,0.479,5.3,7.3,0.732,1.8,4.6,6.4,5.0,1.8,0.9,2.9,2.9,19.9,2678,19.0,0.541,0.025,0.48,5.4,14.1,9.7,22.5,2.4,1.7,13.5,24.9,3.7,1.8,5.4,0.097,2.1,-0.1,2.0,2.7,0.0,-7.29,-7.09,0.341
1995,Tyrone Hill,C,26,CLE,70,67,34.2,5.0,9.9,0.504,0.0,0.0,0.0,5.0,9.9,0.505,0.504,3.8,5.7,0.662,3.8,7.1,10.9,0.8,0.8,0.6,2.2,3.5,13.8,2397,16.8,0.554,0.001,0.572,13.6,26.7,19.9,4.2,1.3,1.4,14.8,20.4,2.7,4.2,6.9,0.138,-0.8,-0.5,-1.3,0.4,0.0,0.62,0.55,0.524
1995,Jeff Hornacek,SG,31,UTA,81,81,33.3,6.0,11.6,0.514,1.1,2.7,0.406,4.9,8.9,0.547,0.562,3.5,4.0,0.882,0.7,1.9,2.6,4.3,1.6,0.2,1.8,2.2,16.5,2696,18.6,0.62,0.234,0.344,2.6,6.9,4.9,20.1,2.5,0.5,11.8,20.6,7.2,2.9,10.1,0.179,3.0,0.7,3.8,3.9,0.0,7.99,7.75,0.732
1995,Robert Horry,PF,24,HOU,64,61,32.4,3.8,8.4,0.447,1.3,3.5,0.379,2.4,4.8,0.497,0.527,1.3,1.8,0.761,1.3,3.8,5.1,3.4,1.5,1.2,1.9,2.5,10.2,2074,13.5,0.556,0.423,0.21,4.7,12.8,9.0,15.2,2.3,2.5,17.2,15.3,1.6,2.6,4.2,0.097,0.4,1.7,2.1,2.1,0.0,2.12,2.32,0.573
1995,Juwan Howard,PF,21,WSB,65,52,36.1,7.0,14.3,0.489,0.0,0.1,0.0,7.0,14.2,0.492,0.489,3.0,4.5,0.664,2.8,5.6,8.4,2.5,0.8,0.2,2.6,3.6,17.0,2348,15.0,0.521,0.008,0.314,8.7,18.4,13.4,11.6,1.1,0.5,13.5,22.8,1.3,1.5,2.8,0.057,-0.7,-1.5,-2.2,-0.1,0.0,-5.6,-5.56,0.256
1995,Avery Johnson,PG,29,SAS,82,82,36.7,5.5,10.5,0.519,0.0,0.3,0.136,5.4,10.3,0.529,0.521,2.5,3.6,0.685,0.6,1.9,2.5,8.2,1.4,0.2,2.5,1.9,13.4,3011,15.7,0.554,0.025,0.342,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,5.1,3.0,8.0,0.128,1.2,0.0,1.2,2.4,0.0,5.96,5.9,0.756
1995,Larry Johnson,PF,25,CHH,81,81,39.9,7.2,15.0,0.48,1.0,2.6,0.386,6.2,12.5,0.5,0.513,3.4,4.4,0.774,2.3,4.9,7.2,4.6,1.0,0.3,2.6,2.1,18.8,3234,17.1,0.555,0.172,0.29,7.3,13.8,10.7,19.4,1.3,0.6,13.1,22.6,4.9,3.6,8.5,0.126,2.3,-0.3,2.0,3.2,0.0,3.28,2.86,0.61
